,X,Y
100076054251859613645158064399389538082_8,-192.4025589644423,658.7161474469121
100184249258745456157904689988579632238_8,1018.8264658542778,-251.13722404323175
100213385521728747388233701363528902303_8,-281.6671094989004,289.89124474025806
100385199317075479584326425943807047276_8,102.83747136807351,-83.85622163458336
100460673043659026468514201615725097532_8,1457.171921868316,-469.9711326084171
100623984817830109248863950314042760577_8,653.8714481362257,-408.4644243804751
100714072759407955197966975138043166373_8,632.6176499778344,-213.90272819835636
100753081970193742847507746290753197950_8,736.911335457819,-460.66484025262645
100767205765665608453359618726788731998_8,315.6587549353892,-1484.350344935427
100782990818838843165304825958793186147_8,152.66227604778632,-644.2679770778605
100873432609332607005186709460265909579_8,942.5307903527519,-281.3785643974453
100876841139560713525570104839034402591_8,-390.9765331963723,220.41553815788023
100883954239028610810357649587871350874_8,320.45344987634473,-742.014679736478
100919518940572053297378135474742076050_8,854.67971045024,-829.7322526443654
100943584179102704021213851096333960373_8,-417.5660200071483,438.3364740233912
101006973019077058134369609273798011239_8,1618.7201048720606,7.023801926639692
101027301410897191637112876265236176700_8,797.9173630167992,-1365.1430028867126
101160442328334880272077595597584983825_8,1333.8824181797095,-484.0048550069055
101188816048801536921740661241286834386_8,322.2234267363103,-891.0578243012376
101202324933501475040022584511063393236_8,-457.43491102835304,-263.26726082682285
101205000705100048300181128149405591535_8,363.3219353222803,-1108.811380160525
101221310108352821983066613899434837919_8,365.8492853794175,-955.9805258910499
101237965155434369450799299075594710602_8,916.5154167092484,-1757.2439045203728
101296965385773911960310309698232238849_8,1248.544223937329,-1309.295778985272
101297892386611843497429428213184719612_8,433.6993894747764,-855.1887942121759
101333245125575045438259094459450670569_8,843.4863230845597,-436.9766456870599
101372712074453690557084047383622876768_8,939.0598423250789,-267.82309375667904
101415559991377884493787713849036712381_8,138.704493086112,473.4312779245209
101438549922962835925941770991854678441_8,767.3782279224798,-450.06236307459153
10143951164819397560389566943957661075_8,483.1525534995992,-555.95822911724
101496311109615336403811178714274576436_8,-413.9633770249187,312.5169444732239
101512793096702681033276907770118748031_8,123.09793139417542,-1271.133649579483
101524687532432563540324431233347037231_8,-182.42205912501848,-978.7164382876508
101606026437288340495160839640302570799_8,356.6469518958741,-737.2596139201207
101703385469763056822681616260246548606_8,210.9798419828374,-876.0879465066989
101758335045470220429934394566700134701_8,410.6978235451288,227.48322066947964
101777653751673530345335751239227861874_8,1373.6330129310577,-684.2214081110924
101883200629957549609570885761744969630_8,-198.1987833816338,-169.7907689323169
101947637128650974135788499013758100933_8,-242.28052496141655,478.7349108293386
10196359076529465123458277170101684744_8,893.1636329951608,-1110.4010251353407
101995719187066529542573869163957832125_8,1400.938756260762,-95.24277839737587
102439202859957207008574604930885524453_8,-235.58002138449854,-422.85359946211395
102621154619248914657869586323740276647_8,1141.350940283737,-1193.7048661040874
102735038538097362614357222218047157543_8,1556.6264226138799,-188.46892557361514
102736537453444518893966038878257738646_8,662.3038284870972,-1726.1988628171543
102896590416167295283190430520914350200_8,87.31015355586449,-1092.6789096408354
102903647318305044665069493366732086882_8,453.4286830969296,-804.9090580788682
102918695664183915880359750855823913848_8,349.283102757335,-845.2821569831497
102925339002257364223756851543369415187_8,195.26271702555835,-107.94543929519136
102956758414075735988074630024344985714_8,1082.39838164713,-1444.6248298725397
103069987917657738379424426674087124452_8,469.3090499298069,-510.1695914183681
103091046359181422686018347923909487925_8,300.86686041539144,-1560.01472570333
103148123297637830126605816927699876193_8,1177.0176440926307,-49.71634986323221
103174443257017474555315876737103234319_8,503.0838586406529,-1392.4459171787119
103188898132813043329355506294439418378_8,1575.7660237627015,-272.75851509868266
103216903116476171002015697351043063580_8,598.8735253834652,-1127.5024266588446
103239919010406833115931374552671050781_8,856.0827359075425,-21.594582563657312
103293391173427558833796028461279132149_8,701.3891861443162,-1132.2676179636105
103339169580527939002039844567076932534_8,882.4083612525486,-442.6410930423697
103463784451521873378370527273166906240_8,882.4374848844909,307.0944863149278
103716731726015158730690901402545985117_8,-148.64133569845944,383.4230890966656
103836232322154542511461092142315361941_8,992.3952272195855,-1762.7003814938003
104159088998234924936591571218629603504_8,1046.7950997986145,-365.754510664259
10416443016932949070966461232371276543_8,-579.9810305085741,482.2577342072348
10420114113827531115535275104949892812_8,1089.0081268281815,-924.217784877613
104244948648240217048944460058689123139_8,1504.6712091355193,200.77952367964764
104271552508433593813812459974296362886_8,517.5393425056345,-138.04469452034309
104500795260275589042483836797959016355_8,429.08429188542846,291.8133049905989
104501586481694499312615886184873626964_8,-364.76564200697914,110.76667901441982
104555441475591794252761774363619326010_8,-640.9696375375844,-44.53516281371225
104725176074973503774077596800438709936_8,-500.44698734311123,52.803275964257864
104745026813393675063373247386753821879_8,-338.945122568677,-457.94367604134396
104762694768882753043959752892087671729_8,441.0355202092133,-707.2665688851919
104765921826824485950971431775448168360_8,954.2450737279993,-743.318215286446
104850433428619894328005424474283300832_8,-343.1832984199801,149.12026965537035
105038177337656566540701033179789217789_8,758.7095087318987,140.43568046404278
105051480667381647923184582797967504371_8,157.82137067268974,-414.0178024791151
105147842754235881339724829605832653471_8,782.8689523645475,-882.1412698566398
105155779911697503428017076688969639450_8,1142.6038867894572,270.41257022807173
105163640559488726744852707962246634607_8,658.9857672819123,306.133124291488
10519761716328265441330533196616516096_8,882.692629629741,212.5707808227565
10521614063712566582996381301267865478_8,1146.7004081850866,-1325.9362324773613
105262842351271213828540248856574576802_8,376.8535052020206,-502.5083231784158
105312463938318948131215470946422558402_8,677.7453095438796,-722.833419561455
105480974374448238545226401270115231656_8,328.5612242303204,-745.8082696502847
10554226135780770584641101410446465884_8,230.12670794829,-1576.3218732734554
1055558616228224531018010712240645501_8,737.3879520351323,-1558.2531472618623
105614483852808889399994630721320735894_8,801.575832143595,322.97910392584384
105675123326406023759418745648190722011_8,1586.210523224534,62.43669082910856
105717958823210827904211698283405067905_8,205.74787974985776,-527.9346770240555
105741349311695895242188161696857753966_8,-508.7525785528424,207.98494844528858
105765761211012140657293936590103902445_8,215.1878328195004,-1325.6609943738981
105803679445255081180118224927694212284_8,1455.3652148153888,-339.44527915561054
105832140124359179443606570872848739101_8,1366.7953299726278,-436.45258246632824
105994596680315266276790699882114281992_8,-18.376599887013363,-129.77899591558528
106025837336828262786485214210345366835_8,-105.6383664835216,-1034.4024548614602
106038018079822122584051609042545865349_8,145.93191698832428,-1528.9700954309874
106060403143456307053049644946100967016_8,-526.9661074141732,-320.1122013009525
106063329095953639606598260827288904157_8,-443.0752359436679,-465.21632947172196
106075550106529303553791424470687604813_8,794.9289442497936,-566.5436148438092
106151964460144174520510143541602313772_8,157.20569281333755,-1537.62079160739
106299232743130197089962540628836117126_8,360.30941924631924,-1374.7043138839203
106338825784021128274069861045395978145_8,1511.3206348532897,-305.63731564302344
106340171861724242295449216481986912714_8,114.56859885195223,-843.5859882344371
106362287937785905770586375259332168483_8,1081.2054507491582,-90.69853805326088
106377008077749618745794575056052600597_8,880.0919419753227,-935.8759161778844
