,X,Y
100047181052654346224529175853339022386_5,631.3820504532304,-1085.7885531082543
100144987682981782100923292757524648699_5,1117.6680266607464,-1636.9937483927436
100168406238158255911371248469711325993_5,642.9891697197428,-545.0631930663153
100267747580756240041023704492842942950_5,343.7775920273845,-245.0508296170358
100380418078413692631351412383892166094_5,624.8201137390656,-1044.5355358604313
100416591302420540942373170232872783233_5,982.5899313663415,-1222.4235624174476
100437568120019600927652936190009214346_5,58.865646981027126,-420.7232385421759
100520046493178546699313517559503591662_5,-97.292834232729,-1192.3323707171205
100542677892296141453580613270127987555_5,-175.03575729522396,-183.01272175931229
100710098199264639646181147670539642555_5,504.68480325533096,-1399.1914606144112
100711744188560459860855719622720771969_5,-103.65473039398978,-482.0995040395383
100770516509828923630978876061485719503_5,-58.97427939546067,-968.4997436222541
100842549546626171241991454564639654183_5,277.2766907809901,-680.5762553329898
100950987248696023627512659113223722976_5,-95.7850079343656,-805.9102996432671
100955601535943672754469769793722395470_5,-642.2951423295747,-117.00341857061255
101040309230617229467963033777200410268_5,443.3670880954744,-553.3392518655205
101290319453327493294362411320830756503_5,546.0823712745346,-481.89132795463246
10133650427379796965274679508791717579_5,529.1160692913774,0.3493420989243674
1014011257225273380454238515543761957_5,0.20549563385349856,-341.06852593864755
101514388755449993173560206320331861974_5,-339.34917949949937,-374.0219889784571
101731390169942732810880467783376149464_5,586.0809310173629,-841.3559030390181
101832018081624702142421097643353058000_5,547.8010617457335,58.16498217764328
101850681050949321874175106772440276305_5,930.7267602903065,-811.6861882214421
101923412293028741557740364778568352912_5,1304.5648929749373,-722.3931475438135
101947708619388374865955767260108748338_5,1002.0291427467571,-1633.7123441310057
10211118390275140178218693553065860949_5,1286.686233834963,-129.73630321139257
102138401151297659614140192164977221559_5,469.09115810796544,-67.21577274429683
102295861303286750533722509490935319871_5,129.61294518917222,109.02064316399918
102329940502936964350965875998000187692_5,884.0302083502302,-952.4275305423962
102369133092169646929318332475012764060_5,-131.16880029296266,-860.8425571715952
102500510899266198503869053721430715211_5,495.8848508777687,-640.983953680558
102605093498008395642273795715434976140_5,-103.95422177437038,-1163.5395138720942
102630798889479537592018189193151183545_5,-515.9973099590705,-766.8833152718116
102719174358977551803816356674924478310_5,447.49483885293006,-447.56980288911404
102762764961926665751220904445159421327_5,371.52340676215607,-702.5973102568614
102870537692237395622163702944556475667_5,618.879342589626,-36.64440382971526
102908585387146366434436973489258714022_5,-120.56040022091291,-183.8010021055925
102961153274706937193126587656972162038_5,-531.7215259775594,-490.3910610595939
103059365527586362447650942647026521319_5,-249.85101903677582,148.34658857713578
103205043405221891887187035103989199675_5,271.9269157440212,-1327.9687553324557
103384017201440493716854958896156052945_5,289.4788294349998,-105.03614589852808
103411609474924234227396703721662557657_5,492.84385004086494,-1221.7100809542935
103703910702192779099450553160452984331_5,953.1867997084222,-683.3464907377461
103789311555996607474821057762334121557_5,227.87201665541946,-656.7273792547987
104078254148375929483440785584365448099_5,-173.19921085356052,-16.700297185679375
104193772921793607754911911626783090104_5,270.5239558639633,-880.3631533038222
104199012032694181036259463212136800428_5,72.92717736616927,200.24858791293275
10423246898564792607150667089393732968_5,133.1142800366082,-1055.427480252927
104365014135643894222330683479992207738_5,908.3786861793853,-414.06961811992454
10439354818870026981613212500868313457_5,1358.8071416721136,-1047.1186270814428
10443051352889986513007462453736025395_5,-656.3211257827961,-308.36409035363687
104604897593115865177436657157450128626_5,1179.1891841435056,-1541.0997845452828
104688916223698180762689830356491784092_5,272.21143989489315,128.6325966754493
104810467644933401534108350868278512588_5,843.0863978565955,-1620.0893412200378
104930837473195784129626300048275722903_5,-304.6502248539691,-586.6117022139765
104967994236261301881635103946587746438_5,-278.61813975475326,102.69145489335062
104968955476732765422841178727438430701_5,1312.0721212715418,-702.4382965291657
104992503200761093134034073696813050482_5,1161.865230541639,-84.02899974011238
105018458557167169914316082564072308694_5,-137.3434404009312,-455.57163407434433
105071344348029652741587405638132693436_5,225.10744435196432,-854.5778920959335
105074444692761013759530498875879068901_5,309.0686510524672,-204.26322450980226
105152267502956405986163481251877765161_5,935.8033757676866,-622.8992898109311
105263668150168837112863311590313411862_5,1229.6626607024646,-94.94016281734042
105271799464682159976532947593817776309_5,634.9285232072535,-1223.0822315322796
105274351643193085986950367987181897816_5,-600.854065731729,296.19062426584145
10542423909097908135626060641967534030_5,-46.28623200225526,-825.3055886233976
10551633534698854195667512244395380368_5,1013.5590650629597,-1003.7968626558761
105525767171112837661148829982548287983_5,162.4574732298216,98.48265219165842
10572187217408534447623344359384783673_5,1044.5568508090364,-1330.2391365335357
