,X,Y
100023039956376282494130276516336349465_4,460.3487801182114,-734.6585773777133
100078777556413476689405249469750752562_4,691.3054239249432,-70.47301173673661
100108828220225876033423665776317861925_4,67.9126469451119,-897.0055644250424
100123002376896274040016894826570919294_4,-455.37993653179825,959.9787607096828
100129264771631286596562859385145960309_4,-230.3439562222246,-580.8234317872029
10032793791539981569759397028350596090_4,-466.6701899843106,-228.50538607374608
100340335819132181432875565628414879129_4,207.2200274239313,-189.33656415239864
10042468813034150325354226896590217644_4,201.7425115244282,-559.8244307004923
100440662992219394645709049590018350505_4,567.9066454520311,-706.0329124638422
100483241915839636187092124581304888425_4,-672.3498841213957,-158.84723031908197
100520316081375667992385971849940134505_4,94.47820798613918,203.12312670438376
100533594919487087810414664675327739834_4,733.4464494482311,94.76196908207947
100566547008494471679383651675459416073_4,-569.6936292187386,770.7600350738487
100689386973509323773417802397576157639_4,189.46831063385346,329.20481662397685
100806007977045961169293375874123531996_4,-592.8303879965044,185.73843591212875
100839918419053788759013377070479665924_4,320.671225880932,92.81813891329051
101018672507888984356638309795382353504_4,1046.9676582845357,248.66189506923087
101054167071589356737202680203899444738_4,437.5679034945005,-995.3781761607552
101058481437885937328435907941710624552_4,531.2780829032108,-1368.8092880835889
10105880780065300040745421805877763212_4,14.037424931229136,592.1148429840089
101165901536747717293212018768630806093_4,890.6943499608429,140.549130313756
101167105522687316279907453617076992314_4,567.866577492186,-1232.6817042925395
101426694288530464065323739032848721067_4,324.94640376822406,-1063.2717955350743
101467107880534004176643844468712591205_4,114.95536198775548,-1139.3684034071416
101481262824451152826387633451581537896_4,554.8090340352416,-1134.6289007062878
101521600818862033924213427901547237141_4,-22.738119795720333,163.46655547828072
101560216089082667677576839005735337934_4,959.1404111923576,-921.3777410829991
101745907030163774592085620785192401348_4,-126.57841529061568,494.7327424087221
101790980904762830765866799788520954884_4,355.40358224955344,-3.957165179136183
101863163661184974488928726596055965096_4,-155.78741992132512,413.657139256598
101863280960230076910327069592404642722_4,-246.06671254013844,81.53134562480662
101889365638438856677004173299693840770_4,255.64753342699555,-1190.253499548509
101970045411881589651175897386012234395_4,727.5563505868349,-1150.8855771830372
102168099975933069242276452801522752158_4,257.5126353903463,479.50215818889325
102214290824883290124241183800773624844_4,-6.970131576183473,-521.6723174208576
102277430123035844398244844272673841064_4,-103.7413374089998,-119.17633619824751
102366742594407721118068297584918604578_4,494.3512191274542,-963.5391413876735
102409848207769390137205782823917126560_4,897.8671074765283,-1011.6151236066637
102496493630931330809710492218948303686_4,398.323438946013,-259.87405402443744
102765570561783260658630532824114212051_4,461.8155777049818,-831.2678994550306
102811435396552447362456433317971464099_4,-230.4126697046596,-775.466966571888
102821283495804759486872434789873611221_4,-434.09190425274164,522.5583730379647
103071079786069910160712083202172133543_4,44.49813007711728,444.3710993290363
103115625543204215748937392893536305227_4,964.6199321676098,-165.2197295584492
103188194989592376767855622961499838037_4,-617.7263810372971,-510.0023313896587
103260519731838629154068451661372545591_4,-610.6460106742583,-62.34174504541177
103290320123310480069720856971516224554_4,-412.6262065602521,-366.64596342172393
103304206979917910414005118884964249002_4,1026.9329994792588,-4.703803382084871
103325626142786518468369699833225846681_4,-569.4949288862964,361.6634558255965
103345698791133270203064620789748834800_4,567.1328320102089,-735.5223676143189
103397412248314007826120808723007848140_4,-295.02098506323273,-719.8672696146152
103534415041813036854131361338937453514_4,573.3450370749008,-1099.630633558799
