,X,Y
100059950242840506892914827927803719655_3,135.59395748822877,-798.4069566327457
100091009396667473995136644963828192189_3,639.986273575766,-810.5477151900661
100346722604484582946238813133898405397_3,12.133761119664367,129.07510429598045
100439809771427859894517650839124854638_3,444.1032797193018,-1604.8462510580464
100505936468759666193769648100123043496_3,245.1835960010976,-910.5355857423929
100645710496845453842306517408992515982_3,-230.3885010358644,-425.3562509609062
100748071626164769238457065681075504234_3,-144.32404133962743,-191.29133253029187
101120573859982847364539472903580315206_3,-215.95923251400333,79.74569147265461
101177192989325615882184579884629127531_3,-546.685687586039,239.86676554876232
101286500547126020284279554505388636536_3,326.13848580881233,357.4498745412129
101347675291099820928977315325598072625_3,-584.5046426268941,727.6099228802009
101404590830385358993550551430264784802_3,538.4636197760092,437.3019599197167
101549124503565845520158139826764874352_3,-723.7120485550212,541.6176383608927
101639005144424369263645110590628123217_3,-651.8475332873567,378.2912520937459
101663426794178300857576609203917888434_3,760.0832863183518,150.0063681482037
101724401556065305274568830630573226474_3,-431.8821305286936,-0.5746468912973342
10176618244332501164143288031646641032_3,-208.19300881213093,-87.33319711746553
101779918316798238784649223065540565891_3,-62.48888698865794,-885.453899321159
101860291903388692514633574751877102094_3,520.530684706089,-1583.6562159612045
101990640997742116718550515444387440430_3,-332.2049247984251,328.38054993933343
102016448673862756842832300793783503127_3,-653.7089594954413,490.0554568491395
102170577517126517138673327035048077353_3,-582.5007156358765,98.93369636815157
102174862228975660246506279886633592848_3,154.2583180386752,-1121.1551311052624
102186514546101688904977457104587351858_3,137.3144895470844,615.3085164291465
102273453976497720504026472310705076398_3,-592.1777422233038,728.1461084766149
102331517787703067620690830814416237727_3,-631.0085926647606,-176.35132692774943
102347534645563295598394079505228275457_3,320.914867030919,-856.6498237404151
102424355328602417547416366334541855978_3,-365.2376211966705,203.7884318334315
102431491119384225261241458180745068240_3,-369.0655894015282,767.6980712148506
102483141787084420933857015968394424575_3,3.6712869650171527,308.8329210412598
102527891981573069994507201920183965357_3,429.03690432739256,-990.2038547880986
102549484937428109330151582836847089803_3,35.52138037716239,-961.4174190451483
102884406356948516493953942681738573630_3,686.0197809726789,-993.5532834589762
102889037373135156527531195730470239994_3,-216.75561014567575,-672.2775941743223
103037710996034038249449141624124610037_3,582.7139631945441,-1012.6854794080343
103163846902775081316905145868555587611_3,362.556531266594,-1149.0227071989011
103213814730376149170887126793210796702_3,679.37601804569,-175.1489232463873
103253663154508429543145730653963415115_3,278.121958470941,-576.5116012259041
103267844604867629230733283958756822203_3,-750.3316583015459,281.87517905136696
103277291818561264609282722004504672844_3,-241.89100508486442,-27.582037268696354
1033024912414174480391969766603249947_3,455.72951484526453,-970.4017738243281
103378125172878589677842675405962091892_3,633.3275343191546,-120.86905735147924
103448471313035845348491400129674225125_3,781.6669430164327,458.7822680812464
103466010025292633942407499635559353949_3,596.7891518664646,65.50989558656818
103761358309981040337619999491962974810_3,26.76216234033301,-465.01265435744585
104048300925239378125159809942791001206_3,-167.67428546013647,-122.90911960370258
104127060188343881156673341017055774665_3,350.53730625995183,6.718056767630912
104368925780769394430319962583600233569_3,706.6610857387593,-830.487670981224
104375329098918534146576129347754066711_3,152.7693865185631,104.38842590776906
104802095543085331537031846139608927074_3,-150.59082011151446,220.6038215370225
104860500083859015464267044469772038785_3,516.079615363869,304.03275987033174
104950014644212949219567399264961625449_3,608.3833856451645,-1629.4715006428091
104970989835939753094955299824044415193_3,692.0215083607209,268.3381133910289
105358065682272482869801649594242758985_3,-380.2669814112811,600.7390138141348
105490359291192105353228010486463540337_3,488.2225631533572,389.7086915089404
105515558025644619106952082539842014013_3,412.7072873123094,-1164.027138198498
105591801491408862419416930946425281436_3,-595.6955717642613,-288.50069034308467
105597720979126137111611258808400391798_3,602.4690460366475,326.01004399927143
105672742000987935152440175545832092153_3,360.2900604988888,600.6150230150056
105702566967130349933143513520034883674_3,431.0648326327345,205.560496481751
105703302555724570058738287276349572755_3,-528.8737178283967,558.982109387458
105758831317175186262602436509631418743_3,531.7363575420571,0.8410136448515715
105784456874136179640490995547395270116_3,206.92933344662956,-1452.8653262872867
105838230481972204614348854314165517404_3,-123.19700331756485,-828.3686732113372
10615457833046587593299057619508827493_3,-487.5301344624065,763.326813405962
106248013905287481029040362757008782920_3,312.404832346459,-69.56683188893675
106281658164528628098743686397692602425_3,85.96110372044572,287.2803643223551
106317073531062150689468060035734153695_3,-205.50403918222364,-912.7643788119074
106586230545836529865874043301198701827_3,677.9492197401673,206.6810665967945
106689180375451342778498819767277417120_3,638.2607034836673,-1201.3151822021728
106737389174574321376565039698334920134_3,195.12337451907968,430.91716121358417
106801555991705299570634178483372378336_3,-102.64753689803602,-793.2232822056822
106806688191618600884246367883617331099_3,650.9024399482171,-864.0403720087224
106991693583131157419093956895284679031_3,664.7313234957894,-44.80102657984611
107014423931476664141638273462721129007_3,-687.0646570305412,892.606719805198
107035451305402142679888016026343041917_3,-93.66279931508231,131.5391924331068
107131335373658002345263256354954810657_3,267.993715457343,300.5519589754482
107232043357003856912916913326108748068_3,454.30902578527025,-347.31232022695235
107248809652939124958914467484086623828_3,-71.63643436195345,442.07906241940674
107433927360103990916395569520281557082_3,708.2208524191459,-905.7749178959198
107774217683125698971070319566011023002_3,-245.3397796800005,-143.78513037918043
107926525704796056704347147064177595044_3,-267.47741387760095,-992.203710967917
108036268311240637316886601485868669331_3,-439.62204327166353,-486.84337159305943
108075440478467815955769043197303895810_3,696.1668242270056,-366.44817631312696
108113826399779485016978997843135515331_3,523.3442657532532,-210.79961375313957
108153476761787768888428215718047876327_3,59.184372646220936,653.684688220033
108202067379831828866973849638954598148_3,-50.90969516424002,-655.9063863639278
108447203302794513651760724053082233671_3,-572.0016213089037,206.29192211695226
108527733702615383533578904012374120732_3,27.042163630036345,-680.5800352551955
108584726422114096678751278627751231625_3,150.49062191483262,-718.8585319430333
108597464181515243810236323261674504715_3,-749.3994463029761,-188.1321323095932
108649242221308575726465653798425990483_3,-180.5270804722937,281.6536240693779
108675592183722104347386462717280531453_3,-176.2176704315703,-217.88927864695907
108898891777281130363602622299423755667_3,-241.69729268353305,387.26441189479596
108962484851017073369163680616641739355_3,430.0187658562025,-939.9247879349502
109223466237733411545587741093657887006_3,253.8087075331277,357.71734473999004
109236676302396663482312133252400367336_3,-623.7343327569818,552.2311255256402
109304367341407088687194773056855181903_3,-68.02974616373913,742.6520134959255
109636026990139990056406057285489133241_3,727.8791987836962,-283.7358759177464
109637222890210680990450611690600175198_3,-805.7151801364085,372.75236960701557
109712126921031409654765473218476381773_3,172.4940171204335,-807.3301015260954
109714857626678684072146135687640147843_3,-623.5607879565441,789.3286512880577
109728178699118957138793960236161227675_3,695.0751717926038,-1268.6181702761228
109770256985698411773718936909438315622_3,-369.8951431247451,-461.5669988587113
10997643396486256939597021476247639650_3,-18.792899754929774,328.18154226279665
110255408466504249788130313391861152447_3,626.1568751752789,-644.5585051608816
110275080719913067173238272334170643270_3,-32.47427611687941,-1025.2230627448448
110293293454485664965323749987925693568_3,314.23226769094646,-792.100607346461
110775205158562785770657160370834255447_3,-19.17243132687211,-1069.318295872845
110886728287113033728291467969357518108_3,434.83279943916796,297.79676244999035
111064836252093337763140935917445741131_3,26.970081746388917,-1337.0927520266305
111158951060414024620531480948871813696_3,-190.11905907064715,-306.12129163945775
111303685035866451066840070684528278538_3,303.27772441952,-564.2596128920108
111365510885888724360349930388299999229_3,398.3403445095255,478.8686806483108
111525290572545116407164426701814188451_3,-577.1084661268923,-430.9357749570717
111561213216563920344587694432853151964_3,537.1986182871804,-974.3974275363871
111766991730222113861907519848260031979_3,234.14527469830625,-1494.8717584250367
11180370585914114565550380185270811805_3,-729.869184685008,-240.87116854138355
111814789206122754813842785293571211525_3,-304.50678328948766,-337.1011584966852
111839211835070298040620138084185687290_3,-193.1719863462245,-882.3538287504207
111869802311286768974972100251645737577_3,321.91154353902687,684.7995229210801
111874590804458499500019170129626869998_3,264.78887888465914,669.7049209411127
111969456174810703759921314896116204483_3,371.13033810648636,15.313047424698595
112013366801127113018352375645671254171_3,-1.027361586209178,-1289.7938215863753
112197416164295907904611842752719538905_3,-563.5795919932377,-95.21816724069305
112235744214171477847818825963202158594_3,284.46776411688586,478.91661496150033
112552681888040368041404415980806144450_3,315.25013199792454,-832.380571248508
112621253063139481448603863983852562842_3,441.1976788741328,-1194.0103964667007
112845188209678141632120491697491303938_3,302.3335958324639,566.02100083696
112875389224373028459803509133794441771_3,43.76339433219124,550.022638175758
112968799904226278208683990166918785114_3,488.36157463783013,-651.0521935703507
113015230179345327810035290970602198208_3,621.9697033625723,-1174.253315048483
113027507844194923886335352764200424258_3,-144.388967965538,266.90057165001787
11305855892314894446953232388555144085_3,-467.04314088814164,659.2187236222114
113107557038282821584015218028405744562_3,-280.04710123978185,625.1407134644926
113108014337955009010746933284013685419_3,-52.050877296148656,-398.7278794034801
113332713384808090445778871578022403858_3,639.3748115984984,-1339.0831728961616
113342075720667382274631448447838689411_3,-87.63366706883247,-662.5645441197871
113463883858049893467341381695303822825_3,601.8884006371924,285.25401844218777
113545790067775837025121204079615810897_3,-35.184674875207705,-452.89398841156543
113562469269999122124789073535108792326_3,-35.1622102652517,-1255.7531227851312
113591739888401685243921444655905256606_3,-341.69401379412585,-621.7853382582607
113641613929708894313190765480327470007_3,-264.1407684053857,22.726319873355266
113661504451166113624648890491049196505_3,184.38061882883042,-151.2989634053237
113758296217863688021407027610097825172_3,375.35493748793755,42.343318229992605
114006409585126494835325124345270277996_3,296.7582848856856,499.4357693605671
114086552051000280149082493707066737296_3,-293.8408801495972,639.5489071547411
114118054441610710129289834695681588399_3,-281.7563740468981,-736.5386804135414
114246715949767292225810039637339236041_3,-106.96244796962947,-613.982220549536
114328277469928882073181704054565496765_3,242.13486507937847,-1039.2335008201264
114358910689529878697526366769580056371_3,554.5772380539287,-173.764501632773
11445372422104910314816768382429585014_3,364.70698869641143,-915.2562133051606
114501994377866942991674633635838058938_3,593.4567027342343,16.040354533005313
114557181957193877902544481050960394801_3,656.1200602780741,-125.2445695712782
114744277177386907491802058697788511000_3,679.4890870295449,-1243.6442416590112
11492519291104482086834297194277177976_3,392.3038254011694,623.9514363255007
11509051548936034297453503312875218584_3,-40.18406405943158,723.9674293121391
11522245218748150218136992440372142298_3,706.4061480461263,-225.46157081097448
115262146551341230101125762723066787375_3,637.8194195324907,69.66777496653287
115316565252983757761179249727100292664_3,-0.5720642370978517,-187.34005701293938
115330798620881039688292367085502524528_3,139.44860989753732,-300.3692990679273
115332999225135322768246326078923573147_3,758.7478620619917,-154.6180856858568
115390950390118564908954819001072007417_3,491.85324019031304,-923.4427230483482
115623398814611398058904495300436453506_3,425.06797754417596,-58.56666197413657
115816747698725587271737550717686376562_3,341.40434750672733,-1125.141370117203
116160453569506926361753131167156207420_3,550.5325852619541,-445.68838283567726
116186974466505835789996432019119306083_3,25.976372658183113,-414.38248532201106
116298872324695878719073104856783687649_3,726.7575469030535,231.26589478692568
116349945874438017572955162390276604853_3,277.91441322689536,569.5977340404681
116418063742749869706499332029445412492_3,597.9938965185529,-212.48093121857016
116556976143680488900900832568400710386_3,-594.7776407374239,311.5644128014638
116565189540499691399378060379665798794_3,239.70970685625707,-195.63748646827597
116864145963875903240512443669194521439_3,327.8322676434663,567.4136737088038
116955335451599982969236901359856965911_3,38.310513413707255,169.40009337105397
116978111557179650079732477442225307387_3,242.6860466002608,-342.38482549771453
117027008810059137583007347917152998291_3,-239.71370947743594,291.49022839653003
117044473869426737999524658410111981559_3,645.6260148062156,-224.73131892706664
117058760472950467305651408677690862177_3,455.78902519130867,233.9555852844253
117174639432916816804882508560776052518_3,441.3357405557299,-1214.0884920742399
11731733089341723526521899407416089724_3,717.8624359701996,-308.85350837229413
117319553475950315329806919868904255688_3,684.1231783450199,-325.00169110140956
117395488226161834737970328920872126134_3,-578.2397096346588,724.2407268346387
117438126480704754340177028825725396696_3,-727.7718156028565,-151.49930154843463
117515519441612508978285401270313051477_3,491.8091101563863,-546.7552752651422
117528223497193018854012647604599449833_3,283.978612491162,-614.2628385595085
1176246229953677246824482032767213036_3,-477.69848666749164,-535.1819469216364
11783434125104589437517287428378455824_3,520.0134443008748,-847.5216532431953
117867612976544504546556187573392501782_3,455.00541808037497,-1228.8892043503424
117942315177310882416972838219697218255_3,120.82515429334495,-771.1870954189892
117954816894875424782271320943034313307_3,33.28206859655785,-850.4935033505508
117958576066244767922020895891357433046_3,285.9283808050739,54.377189745674144
117985737814135170015449990502721669987_3,400.73144797812984,-838.746774420275
118020717020701316189692713109676614728_3,671.72684835441,-1354.2868339247348
118251871841801284384845354892546687209_3,84.56436777575192,273.91022262713994
