,X,Y
100023173600007776283900355785793185282_0,141.201416015625,294.3154296875
100357557613983092542421396030726393144_0,-416.779541015625,580.3924560546875
100438314633131300286240527528820911794_0,43.212158203125,-257.781494140625
100689500727523367948135048603789232105_0,-460.53955078125,431.271728515625
100756095765922513431551474967095417597_0,262.5947265625,60.84765625
100804231467839048239808418591662649115_0,300.795166015625,-7.966064453125
101083364591495475492817085898879333965_0,260.332763671875,600.1005859375
10126453329525163228409998117330821288_0,-383.524658203125,-4.707763671875
101328361963796740712805237114800777834_0,99.45166015625,-614.26025390625
101389991794375888458495842208444561818_0,-38.015380859375,-238.71795654296875
101591421751298755389441745722505669017_0,2.759521484375,-937.4789428710938
101604818680027320224875901979329719387_0,796.087890625,97.2069091796875
10165865408501920542791552299358685449_0,288.327392578125,433.2275390625
101688897762265889629410759021642046035_0,-575.08544921875,396.1339111328125
101693483543747482645343785208098209101_0,449.17626953125,-58.902587890625
101919352467671310660787039505125734431_0,-191.213623046875,-241.27984619140625
102099883907359080003546531173209079140_0,-57.761474609375,-285.75860595703125
102146456718558175752773740333889984179_0,313.2958984375,359.242919921875
102191658991000951412760072221697800224_0,-529.0810546875,280.5247802734375
102864457528156359826853005695820733935_0,271.31884765625,17.767822265625
102906142663883313826057581013884581390_0,-685.791748046875,424.903564453125
103009163579130611585766386040386419187_0,-482.250732421875,254.8656005859375
103331307739621236964123376851251874393_0,-129.5322265625,658.16357421875
103470765538416745149066982928362049090_0,-310.52587890625,-627.79345703125
103625862613560967533675328506912040874_0,411.8173828125,362.5362548828125
103742361286658027162646855286962425807_0,399.182861328125,568.7567138671875
103781742331133280058955671832587884389_0,-557.06494140625,622.1142578125
103877094301537318020473885277446883108_0,-245.7060546875,650.154052734375
104022494635383183986732299051124375801_0,-242.436767578125,-613.7515869140625
104089143150858956423846481311499122105_0,-562.932373046875,-106.2373046875
104173626005141890565682371893092687211_0,-138.7490234375,252.4317626953125
104182382695644627269812180671173742634_0,119.931884765625,-710.7254333496094
104277619663641087759086967830351401923_0,-168.5849609375,313.6168212890625
104443226206953563813153881409759142702_0,69.992919921875,-33.9302978515625
104486598995166357371538304574383104459_0,-452.676513671875,45.337158203125
104487670941940179521170559879872885202_0,548.18017578125,-269.672119140625
104525653157039508161850946584915839262_0,-463.53173828125,-107.4774169921875
104592355790310544453146995339826812048_0,273.968505859375,148.0859375
104612441927878116653044607215154593940_0,94.5517578125,333.3433837890625
104640571652211461384562182463226368832_0,-306.18701171875,-28.1500244140625
104857145824444646175563880441579211622_0,455.266357421875,-5.498779296875
104934169164784263100639694451865200054_0,-457.52734375,210.50634765625
104937953431496359784125593006183356270_0,167.6455078125,-838.0060119628906
105011860381547225506133817296649273056_0,57.38037109375,-580.2147216796875
105114756804159624065682527481008520838_0,-491.333740234375,-527.949951171875
105139115807626575296119625887571925571_0,-299.326171875,531.0540771484375
105169662533640892458559165442595672572_0,-400.87841796875,-382.20404052734375
105176011582640934794439908205347611174_0,402.23974609375,40.5845947265625
105342185141734385992235577168782074329_0,170.13916015625,157.0330810546875
105634114296291914143491463666418157063_0,-253.362060546875,274.9852294921875
105743917256879562824982687300504730748_0,-360.774658203125,475.4359130859375
105829827678714312152020701847696483172_0,-143.519287109375,-986.1656188964844
105852900449364821317493833597853844833_0,531.352783203125,302.1478271484375
105864311909742171056255726498650880745_0,246.486572265625,128.3797607421875
10621828331544710683708026167778449280_0,-270.204345703125,352.6297607421875
106441320117288133412813931039800710429_0,-375.68994140625,572.0218505859375
106521876804260394919682262539887228409_0,241.84912109375,-500.1903076171875
106599650361919644759395530160608510306_0,111.447998046875,-921.8418731689453
106752891538729616163356596170138420864_0,-462.3779296875,-359.0809326171875
106799993829664323560990108292614265176_0,-203.153564453125,-722.7237548828125
106879082911775478361315333775395117458_0,261.587646484375,-5.52783203125
106910523370899322043767648759313035070_0,-6.408203125,-803.5293884277344
106989228421555750179434626337025127238_0,808.281005859375,151.634033203125
107026911837187088180700290256717920260_0,-223.17578125,-568.3319091796875
107099222151666516087124901905733016295_0,8.474853515625,518.15869140625
107123676586470758703863391343386819766_0,61.03857421875,-509.77899169921875
107339112156518725033613824971578371128_0,-354.653564453125,-513.4490356445312
107478541052852506394885417310841342068_0,-492.956787109375,-409.62030029296875
107553564099505468771530212471108711691_0,598.026611328125,201.0682373046875
107622566819890597969247145839799835696_0,-492.15380859375,863.4659423828125
107802230486370115219103041504548543565_0,585.44091796875,-373.71875
107872427553484314464313370989111586159_0,-350.969970703125,297.4439697265625
108009979999827127872963248552653775571_0,437.771484375,-245.90972900390625
108029856937918413376617838402063177447_0,37.283935546875,735.508544921875
108075098044368552315158939266458836854_0,141.25244140625,805.2540283203125
10808642887143486819721430936731590070_0,-104.9521484375,598.4066162109375
108096998665573991139175612407607921425_0,-552.62841796875,364.3458251953125
108118885601711341870659764919886937782_0,-620.317138671875,469.3966064453125
108134615693647169618626346111727151317_0,-683.722900390625,215.1103515625
108151846753791284075707325388117939956_0,417.41357421875,600.20947265625
108251441395865598807128269118024108228_0,-227.461181640625,-890.8297729492188
108261734847365546385384504118257042139_0,407.696533203125,532.6287841796875
108307546474021084567097168395848541729_0,-404.452880859375,-174.883056640625
108322243376190375045558105931073151056_0,-39.017578125,-126.611083984375
10832956982967017320271411120350378461_0,-208.052978515625,-256.594482421875
108350782641589870500543373966745320263_0,-673.65234375,62.9508056640625
108613353452250782170756621115529268727_0,-340.915771484375,484.3917236328125
108661393468113001212291905272309423191_0,-279.246337890625,-812.6588134765625
108699524623518897298020345031668922889_0,235.017822265625,534.11767578125
108854021457805852886014060025378905175_0,-290.98291015625,-755.8880310058594
109318072160748829012816421737406189743_0,197.109130859375,-406.013916015625
10947586813746476254045026542543913517_0,84.94287109375,-596.3914184570312
109508429085227515047516965957926401594_0,-381.059326171875,-274.98358154296875
109677454197376232307709407051499290780_0,21.855224609375,-635.4190673828125
109955609694149559296109082461053604390_0,394.90283203125,-378.29852294921875
109965427353334007768264044562271991296_0,104.846923828125,-776.8560180664062
110269435316154646323871198614485067080_0,-103.78369140625,114.6455078125
110272755519126451572811381027326300157_0,84.03076171875,213.3419189453125
110283315797182327149692218378104887658_0,646.482421875,109.90576171875
110355162697742019119462108600206834566_0,583.27685546875,214.0126953125
110703820799907747717493505881741029375_0,-490.041748046875,875.951904296875
110898718501134611372191987417029490458_0,496.137939453125,-170.8455810546875
111040196385891579910625151481376235798_0,-384.95166015625,-163.45025634765625
111044696643303903287222007173283188450_0,449.964599609375,-343.4246826171875
111199893546845657870596070189050433425_0,211.1455078125,-820.1703186035156
111352697923105064572965115751138806765_0,11.238037109375,-736.6176452636719
111364034952465610754719454869481105250_0,-126.893798828125,115.361572265625
111366982642174510105660936745227904529_0,582.521728515625,-330.84783935546875
111397466719856331851434484222313069393_0,148.63134765625,-768.6288757324219
11157635610331246605146035427592382614_0,70.019287109375,-928.409912109375
111582501385204181246361169574496644745_0,-207.224365234375,389.403076171875
111848395540594529930786802291504808493_0,-29.91845703125,-139.08184814453125
112175829099193106151551851901876012639_0,421.303466796875,520.09326171875
112283568205299483611931150417897206429_0,187.2705078125,-821.8178405761719
11233683868855919081503766393333837988_0,-19.83544921875,513.4476318359375
112417486993458842448573186348312438028_0,-12.515625,86.56884765625
11255491524410518218445593148546712843_0,-69.721435546875,465.444091796875
112844167108059997382624454391393419541_0,-111.26171875,194.7618408203125
113234928788311873091561433544139785662_0,-660.697509765625,-41.8101806640625
11342764004452263203172628260512253216_0,348.74853515625,286.8397216796875
113800161090024034161965690771325006902_0,-258.08544921875,-202.16357421875
113820982146509902304141659863640855342_0,-165.691162109375,-783.8422241210938
113822777327821559158132975924428274397_0,278.317626953125,-779.6771850585938
113854615733951105034628066406667441773_0,36.21875,-986.1216125488281
114199101520363048696998975966943533529_0,-207.960205078125,-225.1881103515625
114379895234513855241580354696440433829_0,356.443603515625,-679.3512573242188
114400366218022168010940291825539339683_0,-333.26220703125,210.239990234375
114464356921342286714254673341761572844_0,141.740234375,-429.70367431640625
114788223612510424263046877850183179329_0,159.11669921875,-68.3651123046875
114879021004751260874980793116048736814_0,-52.215087890625,-157.33270263671875
115446007411786915681947110996058237730_0,425.7255859375,-227.75341796875
115460321247584496034511193157079688802_0,-135.136962890625,-152.55487060546875
115594387058698873728254351423371256208_0,512.786376953125,-329.96478271484375
115658733542858748288520874861962846477_0,-422.07958984375,110.13134765625
116024200849477472682059180123311043288_0,11.6240234375,-25.1427001953125
116044766907634351330216792941864722789_0,-310.43701171875,-76.359619140625
116194529866330455918333338614643270531_0,-618.1884765625,333.445556640625
11623847505540888835403656899925263434_0,180.289306640625,192.282958984375
116399521768853004840126240440608637214_0,606.5947265625,-264.29608154296875
116487720825864007199176592742543893074_0,384.021484375,-784.1218872070312
116510405552706280419747903708613980605_0,-490.209228515625,650.5528564453125
116568580010551088227421430753246370842_0,90.434814453125,546.10546875
116574887717599382441888302926198706545_0,213.075439453125,-695.0596008300781
116726940365004633892829764619731754852_0,-134.61376953125,-97.7587890625
116836893936832565567615809481025411547_0,-635.57763671875,-5.0721435546875
116847247093246110528958896838144428558_0,-503.022216796875,-528.319580078125
116917834981157045990297214113610832683_0,235.344970703125,620.5968017578125
116954631194429072765501716436080295520_0,-128.90087890625,760.1160888671875
117077818999589881455830278032761717936_0,-529.61181640625,-119.856689453125
117391256372071082505306245631680983802_0,-126.702880859375,-192.837158203125
117468577330112674762546807761507056508_0,-107.408447265625,71.08544921875
117542745667450306608118662698084482768_0,162.986572265625,-278.70086669921875
117638286073100152981998827723053799635_0,780.6572265625,283.2781982421875
117742530918865911533893520022617876352_0,191.57666015625,-729.8755493164062
117840870410970232440574273744494921719_0,-461.359375,-32.7509765625
118279880324851240809216331223219310862_0,-124.841064453125,-411.98992919921875
118298791656591376102583833708373464974_0,113.027099609375,-954.0400085449219
1183043656142955495672645528754277402_0,-687.7421875,445.0341796875
11839442912357228374142921435865926527_0,-665.698486328125,372.2091064453125
11841208366455001682429622487439636255_0,357.853271484375,-140.857421875
118428850867941860810099432278807913718_0,-466.653076171875,156.8975830078125
118487204693776812373332777364782946185_0,382.235107421875,260.3001708984375
118555815135701775394313140542247239427_0,-80.583740234375,602.28173828125
118669859610223298784069821846528293992_0,45.38037109375,163.2742919921875
118702270809996500770973213063105522279_0,-493.643310546875,-491.3809814453125
